README | download CSV				
JobTitle_cleaned__	RoleMultichoice_composite	YearsDataVizExperience_4buckets	OrgSector_collapsed	OrgIndustry_collapsed
Postdoc	Developer	C: 6 to 10 years		
Postdoctoral Researcher	Academic	B: 3 to 5 years		
Postgraduate Researcher	Student	B: 3 to 5 years		
Practitioner	Journalist	C: 6 to 10 years		
Presales Manager	Engineer	D: 11 or more years	Private sector	
Presentation Designer	Designer	D: 11 or more years		Healthcare/medical
President	Scientist	B: 3 to 5 years		
President	Leadership	C: 6 to 10 years	Public sector (government)	Consulting
President	Leadership	C: 6 to 10 years	2 or more	2 or more
President	Designer	D: 11 or more years		
President	Analyst	D: 11 or more years		
Principal	Leadership	D: 11 or more years		
Principal	Engineer	B: 3 to 5 years		
Principal	Developer	D: 11 or more years		Consulting
Principal Analyst	Analyst	C: 6 to 10 years	Public sector (government)	Healthcare/medical
Principal Business Analyst	Analyst	A: 2 or fewer years		Healthcare/medical
Principal Consultant	Leadership	B: 3 to 5 years	2 or more	Consulting
Principal Consultant	Leadership	B: 3 to 5 years		Information technology
Principal Consultant		B: 3 to 5 years		
Principal Consultant		D: 11 or more years		
Principal Data Analyst	Analyst	B: 3 to 5 years	Academia	
Principal Data Developer	Developer	C: 6 to 10 years	Academia	
Principal Data Scientist	Developer	D: 11 or more years	2 or more	Journalism
Principal Data Scientist	Analyst	D: 11 or more years		Information technology
Principal Data Visualization Designer	Leadership	D: 11 or more years		
Principal Designer	Designer	D: 11 or more years		2 or more
Principal Engineer / Software Architect	Engineer	C: 6 to 10 years		Information technology
Principal Information Analyst	Analyst	C: 6 to 10 years		Healthcare/medical
Principal Machine Learning Engineer	Engineer	D: 11 or more years		Information technology
Principal Policy Analysis		D: 11 or more years	Public sector (government)	
Principal Product Designer	Designer	C: 6 to 10 years	Private sector	2 or more
Principal Software Engineer	Engineer	C: 6 to 10 years		Information technology
Process Analyst	Analyst	B: 3 to 5 years	Private sector	
Process Specialist	Engineer	D: 11 or more years	Private sector	
Product Design Lead	Designer	A: 2 or fewer years	Private sector	
Product Design Lead	Designer	C: 6 to 10 years	Private sector	Information technology
Product Design Manager		B: 3 to 5 years		
Product Designer	Student	A: 2 or fewer years		
Product Designer	Designer	B: 3 to 5 years		Information technology
Product Designer	Designer	B: 3 to 5 years		
Product Designer	Designer	C: 6 to 10 years		Information technology
Product Designer		A: 2 or fewer years		
Product Engineer		A: 2 or fewer years		
Product Lead		A: 2 or fewer years		Information technology
Product Lead		A: 2 or fewer years		
Product Manager	Student	A: 2 or fewer years	Private sector	Information technology
Product Manager	Leadership	A: 2 or fewer years		Information technology
Product Manager	Leadership	B: 3 to 5 years	Private sector	
Product Manager	Leadership	B: 3 to 5 years		Information technology
Product Manager	Leadership	C: 6 to 10 years		Finance
Product Manager	Leadership	C: 6 to 10 years		
Product Manager	Leadership	D: 11 or more years		Information technology
Product Manager	Leadership	D: 11 or more years		2 or more
Product Manager	Analyst	B: 3 to 5 years	Private sector	Marketing
Product Manager		A: 2 or fewer years		
Product Owner	Leadership	B: 3 to 5 years		Journalism
Production Manager	Leadership	B: 3 to 5 years		Finance
Professor	Leadership	C: 6 to 10 years	Academia	2 or more
Professor	Leadership	D: 11 or more years		
Professor	Academic	C: 6 to 10 years		
Professor	Academic	C: 6 to 10 years		
Professor	Academic	C: 6 to 10 years		
Professor	Academic	C: 6 to 10 years		
Professor	Academic	D: 11 or more years		
Professor	Academic	D: 11 or more years		
Professor	Academic	D: 11 or more years		
Professor		D: 11 or more years		Finance
Program & Grants Associate		A: 2 or fewer years	Non-profit	
Program and Policy Analyst	Analyst	B: 3 to 5 years	Public sector (government)	Healthcare/medical
Program Assistant, Illustrator	Designer	A: 2 or fewer years	Non-profit	
Program Coordinator	Student	A: 2 or fewer years		
Program Manager	Leadership	B: 3 to 5 years	2 or more	
Program Manager	Leadership	D: 11 or more years	Public sector (government)	
Program Manager	Analyst	C: 6 to 10 years	Private sector	
Programmer	Developer	D: 11 or more years	Academia	
Programmer Analyst	Developer	A: 2 or fewer years	Private sector	2 or more
Project and Policy Analyst	Analyst	B: 3 to 5 years	Public sector (government)	Healthcare/medical
Project Coordinator		A: 2 or fewer years		
Project Leader		A: 2 or fewer years		
Project Manager	Analyst	B: 3 to 5 years		
Project Manager		A: 2 or fewer years		
Project Manager		A: 2 or fewer years		
Project Manager		B: 3 to 5 years	Non-profit	
Project Manager		B: 3 to 5 years		Consulting
Project Scientist	Academic	B: 3 to 5 years		
Public Health Consultant	Scientist	B: 3 to 5 years		
Public Health Researcher	Scientist	C: 6 to 10 years	Non-profit	
Publications Designer	Designer	D: 11 or more years	2 or more	Healthcare/medical
Purchasing Manager		B: 3 to 5 years	Private sector	
QA		A: 2 or fewer years		
Quality Engineer	Developer	B: 3 to 5 years		
Quality Systems Engineer	Engineer	B: 3 to 5 years	Private sector	
Quantitative Product Researcher		B: 3 to 5 years		
Reporter	Analyst	C: 6 to 10 years		Finance
Reporting Analyst	Analyst	B: 3 to 5 years		
Reporting and Data Analyst	Analyst	B: 3 to 5 years	Private sector	Information technology
Reporting and Data Quality Assistant	Analyst	B: 3 to 5 years	Non-profit	
Reporting and Visualisation Manager	Developer	C: 6 to 10 years		Finance
Reporting Manager		B: 3 to 5 years		
Reporting Specialist	Developer	C: 6 to 10 years		Consulting
Research Actuary		C: 6 to 10 years		
Research Administrator		A: 2 or fewer years	Academia	Healthcare/medical
Research Analyst	Analyst	A: 2 or fewer years	Non-profit	
Research Analyst	Analyst	B: 3 to 5 years	Private sector	Marketing
Research Analyst	Analyst	C: 6 to 10 years	Private sector	Healthcare/medical
Research Analyst	Analyst	D: 11 or more years	Academia	
Research Analyst		B: 3 to 5 years	Non-profit	
Research and Data Analyst	Analyst	C: 6 to 10 years	Non-profit	
Research and Data Analyst	Analyst	C: 6 to 10 years	Non-profit	
Research and Data Analytics Director		D: 11 or more years		
Research and Data Specialist	Analyst	C: 6 to 10 years	Non-profit	
Research and Evaluation Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Research and Evaluation Manager	Leadership	B: 3 to 5 years	Non-profit	
Research and Evaluation Manager	Leadership	B: 3 to 5 years	Non-profit	
Research and Evaluation Manager	Leadership	C: 6 to 10 years	Non-profit	
Research and Evaluation Manager	Analyst	C: 6 to 10 years	Non-profit	
Research and Evaluation Specialist		C: 6 to 10 years	Public sector (government)	
Research and Planning Consultant	Analyst	B: 3 to 5 years	Academia	
Research and Project Manager	Analyst	B: 3 to 5 years		
Research Assistant	Scientist	B: 3 to 5 years	Non-profit	
Research Assistant	Analyst	A: 2 or fewer years	2 or more	
Research Assistant	Analyst	B: 3 to 5 years	2 or more	
Research Assistant	Academic	A: 2 or fewer years		
Research Assistant	Academic	B: 3 to 5 years		
Research Assistant	Academic	B: 3 to 5 years		
Research Assistant	Academic	B: 3 to 5 years		
Research Assistant		A: 2 or fewer years		
Research Assistant & Project Manager		B: 3 to 5 years		Consulting
Research Assistant Professor	Academic	D: 11 or more years		
Research Associate	Scientist	A: 2 or fewer years	Non-profit	
Research Associate	Scientist	C: 6 to 10 years	Public sector (government)	
Research Associate	Developer	B: 3 to 5 years	Academia	
Research Associate	Analyst	A: 2 or fewer years		Consulting
Research Associate	Analyst	B: 3 to 5 years	Public sector (government)	
Research Associate	Academic	A: 2 or fewer years		
Research Associate	Academic	B: 3 to 5 years		
Research Associate	Academic	C: 6 to 10 years		
Research Associate		B: 3 to 5 years	Non-profit	
Research Associate		B: 3 to 5 years		Consulting
Research Associate		B: 3 to 5 years		Consulting
Research Associate		B: 3 to 5 years		
Research Associate		B: 3 to 5 years		
Research Associate / Evaluator		A: 2 or fewer years		
Research Communications Analyst	Analyst	C: 6 to 10 years	Non-profit	
Research Consultant	Analyst	A: 2 or fewer years		
Research Coordinator		B: 3 to 5 years	Non-profit	
Research Data Analyst	Analyst	B: 3 to 5 years	Non-profit	
Research Data Analyst	Analyst	C: 6 to 10 years	Academia	Healthcare/medical
Research Data Analyst	Analyst	C: 6 to 10 years	Academia	
Research Officer		C: 6 to 10 years	Non-profit	
Research Professor	Academic	C: 6 to 10 years		
Research Scientist	Scientist	B: 3 to 5 years	Non-profit	
Research Scientist	Scientist	C: 6 to 10 years	Public sector (government)	
Research Scientist	Scientist	C: 6 to 10 years	Private sector	Information technology
Research Scientist	Scientist	C: 6 to 10 years		Healthcare/medical
Research Scientist	Academic	D: 11 or more years		
Research Scientist		C: 6 to 10 years		
Research Software Specialist	Academic	D: 11 or more years		
Research Specialist	Analyst	C: 6 to 10 years	Public sector (government)	
Researcher	Analyst	B: 3 to 5 years	Public sector (government)	
Researcher	Analyst	B: 3 to 5 years	Non-profit	
Researcher	Academic	B: 3 to 5 years		
Researcher	Academic	B: 3 to 5 years		
Researcher	Academic	B: 3 to 5 years		
Researcher	Academic	C: 6 to 10 years		
Researcher	Academic	D: 11 or more years		
Researcher		C: 6 to 10 years	Non-profit	Consulting
Researcher, Freelancer	Academic	C: 6 to 10 years		
Retail Business Analyst	Analyst	B: 3 to 5 years	Academia	
Retail Operations	Analyst	A: 2 or fewer years		
Risk Specialist	Analyst	B: 3 to 5 years		
S		A: 2 or fewer years		
S		B: 3 to 5 years		
Sage	Analyst	C: 6 to 10 years		Healthcare/medical
Sales Analyst	Analyst	C: 6 to 10 years		
Sales and Marketing Analyst	Analyst	C: 6 to 10 years		Healthcare/medical
Sales Engineer	Analyst	D: 11 or more years		Information technology
Sales Manager		A: 2 or fewer years		
Sales Support Manager	Analyst	B: 3 to 5 years	Private sector	
Scholar	Academic	D: 11 or more years		
School Data Analyst	Analyst	A: 2 or fewer years	Academia	
Science Manager	Leadership	C: 6 to 10 years	Private sector	Information technology
Scientific and Medical Illustrator		D: 11 or more years	Academia	
Scientific Associate	Scientist	C: 6 to 10 years		Healthcare/medical
Scientific Associate	Analyst	B: 3 to 5 years	Public sector (government)	
Scientific Employee	Scientist	C: 6 to 10 years	Public sector (government)	Information technology
Scientist	Scientist	B: 3 to 5 years		
Scientist		A: 2 or fewer years		
Self employed		C: 6 to 10 years		
Senior Analyst	Analyst	A: 2 or fewer years		Finance
Senior Analyst	Analyst	B: 3 to 5 years	Private sector	
Senior Analyst	Analyst	B: 3 to 5 years		Healthcare/medical
Senior Analyst	Analyst	B: 3 to 5 years		
Senior Analyst	Analyst	C: 6 to 10 years	Academia	
Senior Analyst		A: 2 or fewer years		
Senior Analyst		C: 6 to 10 years		
Senior Analyst		D: 11 or more years		
Senior Analyst, Business Analysis	Analyst	B: 3 to 5 years		
Senior Assessment and Research Analyst	Analyst	C: 6 to 10 years	Academia	
Senior Associate	Analyst	B: 3 to 5 years		
Senior Associate		B: 3 to 5 years	2 or more	Healthcare/medical
Senior Associate Director for Analytics	Analyst	D: 11 or more years	Academia	
Senior Associate for Research and Programs	Analyst	C: 6 to 10 years	Non-profit	
Senior BI Analyst	Analyst	C: 6 to 10 years	Private sector	Healthcare/medical
Senior BI Analyst	Analyst	D: 11 or more years		Healthcare/medical
Senior Biostatistician	Scientist	D: 11 or more years	Non-profit	Healthcare/medical
Senior Business Analyst	Analyst	B: 3 to 5 years	Private sector	
Senior Business Analyst	Analyst	D: 11 or more years		
Senior Business Intelligence Analyst	Analyst	B: 3 to 5 years	Private sector	
Senior Business Intelligence Analyst	Analyst	B: 3 to 5 years	Private sector	
Senior Business Intelligence Analyst	Analyst	B: 3 to 5 years		2 or more
Senior Business Intelligence Analyst	Analyst	C: 6 to 10 years		Finance
Senior Business Intelligence Data Analyst		A: 2 or fewer years		
Senior Business Intelligence Developer	Developer	B: 3 to 5 years	Non-profit	
Senior Business Intelligence Developer	Developer	C: 6 to 10 years	Private sector	
Senior Business Intelligence Developer	Developer	C: 6 to 10 years		Healthcare/medical
Senior Business Systems Analyst	Analyst	B: 3 to 5 years		
Senior Consultant	Developer	C: 6 to 10 years	Private sector	
Senior Consultant	Designer	C: 6 to 10 years	Private sector	2 or more
Senior Consultant	Analyst	C: 6 to 10 years	2 or more	Information technology
Senior Consultant	Analyst	D: 11 or more years		
Senior Creative Service Manager	Designer	B: 3 to 5 years		
Senior Data & Impact Analyst	Analyst	B: 3 to 5 years	Non-profit	
Senior Data Analyst	Student	C: 6 to 10 years		
Senior Data Analyst	Developer	B: 3 to 5 years		
Senior Data Analyst	Analyst	A: 2 or fewer years	2 or more	
Senior Data Analyst	Analyst	A: 2 or fewer years		Marketing
Senior Data Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Senior Data Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Senior Data Analyst	Analyst	B: 3 to 5 years	Non-profit	Information technology
Senior Data Analyst	Analyst	B: 3 to 5 years		Information technology
Senior Data Analyst	Analyst	B: 3 to 5 years		Finance
Senior Data Analyst	Analyst	B: 3 to 5 years		Consulting
Senior Data Analyst	Analyst	B: 3 to 5 years		
Senior Data Analyst	Analyst	B: 3 to 5 years		
Senior Data Analyst	Analyst	B: 3 to 5 years		
Senior Data Analyst	Analyst	C: 6 to 10 years	Public sector (government)	
Senior Data Analyst	Analyst	C: 6 to 10 years	Private sector	Information technology
Senior Data Analyst	Analyst	C: 6 to 10 years	Private sector	
Senior Data Analyst	Analyst	C: 6 to 10 years	Private sector	
Senior Data Analyst	Analyst	C: 6 to 10 years	Non-profit	
Senior Data Analyst	Analyst	C: 6 to 10 years	Academia	
Senior Data Analyst	Analyst	C: 6 to 10 years		Information technology
Senior Data Analyst	Analyst	C: 6 to 10 years		Finance
Senior Data Analyst	Analyst	C: 6 to 10 years		2 or more
Senior Data Analyst	Analyst	D: 11 or more years	Public sector (government)	
Senior Data Analyst		B: 3 to 5 years		
Senior Data Analyst		C: 6 to 10 years		
Senior Data Analyst / Visualization Engineer	Analyst	C: 6 to 10 years	Academia	
Senior Data Associate	Leadership	B: 3 to 5 years		2 or more
Senior Data Designer	Leadership	B: 3 to 5 years		Information technology
Senior Data Engineer	Engineer	B: 3 to 5 years		Information technology
Senior Data Journalist	Journalist	B: 3 to 5 years		Journalism
Senior Data Reporter	Journalist	C: 6 to 10 years		Journalism
Senior Data Scientist	Scientist	C: 6 to 10 years	Private sector	Information technology
Senior Data Scientist	Scientist	C: 6 to 10 years		Information technology
Senior Data Scientist	Scientist	D: 11 or more years	Public sector (government)	Healthcare/medical
Senior Data Scientist	Engineer	C: 6 to 10 years	Private sector	Information technology
Senior Data Scientist	Analyst	B: 3 to 5 years	Non-profit	
Senior Data Systems Analyst	Analyst	C: 6 to 10 years	Non-profit	
Senior Data Visualisation Consultant	Analyst	C: 6 to 10 years		
Senior Data Visualization	Developer	B: 3 to 5 years		
Senior Data Visualization & Analytics Consultant	Developer	D: 11 or more years		
Senior Data Visualization Analyst	Analyst	B: 3 to 5 years		Consulting
Senior Data Visualization Analyst	Analyst	B: 3 to 5 years		
Senior Data Visualization Analyst	Analyst	C: 6 to 10 years	Academia	
Senior Data Visualization Designer	Designer	B: 3 to 5 years		Finance
Senior Data Visualization Designer	Designer	B: 3 to 5 years		Finance
Senior Data Visualization Designer	Designer	B: 3 to 5 years		Consulting
Senior Data Visualization Designer	Designer	B: 3 to 5 years		Consulting
Senior Data Visualization Designer	Designer	C: 6 to 10 years		Information technology
Senior Data Visualization Designer	Designer	C: 6 to 10 years		
Senior Data Visualization Designer	Analyst	C: 6 to 10 years	Public sector (government)	
Senior Data Visualization Developer	Developer	B: 3 to 5 years		
Senior Data Visualization Developer	Developer	C: 6 to 10 years		Information technology
Senior Data Visualization Editor	Designer	D: 11 or more years		Consulting
Senior Data Visualization Engineer	Engineer	B: 3 to 5 years		Information technology
Senior Data Visualization Engineer	Engineer	B: 3 to 5 years		2 or more
Senior Data Visualization Engineer	Developer	B: 3 to 5 years		Consulting
Senior Data Visualization Engineer	Designer	C: 6 to 10 years		Journalism
Senior Database Analyst / Programmer	Analyst	D: 11 or more years		Healthcare/medical
Senior Design Engineer	Designer	C: 6 to 10 years	Private sector	Information technology
Senior Designer	Designer	B: 3 to 5 years	Private sector	2 or more
Senior Designer	Designer	D: 11 or more years		
Senior Developer		A: 2 or fewer years		
Senior Developer		C: 6 to 10 years		
Senior Digital Marketing Specialist	Analyst	D: 11 or more years		2 or more
Senior Director Analytics	Analyst	D: 11 or more years	Private sector	Marketing
Senior Director Data Visualization		B: 3 to 5 years		
Senior Director, Client Analysis	Leadership	C: 6 to 10 years		
Senior Director, Data		D: 11 or more years		
Senior Director, Data Journalism	Leadership	B: 3 to 5 years	Private sector	Journalism
Senior Evaluator	Analyst	D: 11 or more years		
Senior Evaluator		D: 11 or more years		
Senior Financial Economist	Scientist	D: 11 or more years	Public sector (government)	
Senior Full-Stack Software Engineer		C: 6 to 10 years		
Senior GIS Analyst	Analyst	B: 3 to 5 years	Public sector (government)	
Senior Graphic Designer	Designer	B: 3 to 5 years	Non-profit	
Senior Graphics Editor	Journalist	D: 11 or more years		Journalism
Senior Graphics Editor		D: 11 or more years		
Senior Healthcare Analyst	Analyst	B: 3 to 5 years	2 or more	2 or more
Senior HR Analyst	Leadership	C: 6 to 10 years		Finance
Senior Insights Analyst	Analyst	B: 3 to 5 years		Marketing
Senior Intelligence Analyst		C: 6 to 10 years		
Senior IT Developer	Developer	C: 6 to 10 years		
Senior IT Officer - Dissemination	Scientist	B: 3 to 5 years		Information technology
Senior Learning Designer	Designer	A: 2 or fewer years	Private sector	
Senior Lecturer	Academic	B: 3 to 5 years		
Senior Lecturer	Academic	D: 11 or more years		
Senior Manager	Leadership	C: 6 to 10 years		Information technology
Senior Manager	Leadership	D: 11 or more years	Non-profit	
Senior Manager	Leadership	D: 11 or more years		Consulting
Senior Manager	Analyst	B: 3 to 5 years		Healthcare/medical
Senior Manager	Analyst	C: 6 to 10 years		Healthcare/medical
Senior Manager		C: 6 to 10 years		
Senior Manager		C: 6 to 10 years		
Senior Manager Analytics	Analyst	B: 3 to 5 years		Marketing
Senior Manager Business Development	Analyst	C: 6 to 10 years		
Senior Manager Business Intelligence	Leadership	C: 6 to 10 years	Private sector	
Senior Manager Business Intelligence	Analyst	C: 6 to 10 years		Finance
Senior Manager of Data Visualisation	Leadership	C: 6 to 10 years		Finance
Senior Manager, Learning & Evidence	Leadership	B: 3 to 5 years	Non-profit	
Senior Marketing Analyst	Analyst	B: 3 to 5 years		Information technology
Senior MEAL Officer	Analyst	D: 11 or more years		
Senior Multimedia Producer	Designer	B: 3 to 5 years		Journalism
Senior Platform Integration Manager		A: 2 or fewer years		
Senior Presentation Designer		B: 3 to 5 years		
Senior Principal UX Architect	Designer	C: 6 to 10 years		Information technology
Senior Principle Software Engineer	Engineer	C: 6 to 10 years		Information technology
Senior Product Designer	Designer	C: 6 to 10 years		Information technology
Senior Product Designer	Designer	C: 6 to 10 years		Finance
Senior Product Designer	Designer	D: 11 or more years		Information technology
Senior Product Engineer	Engineer	C: 6 to 10 years		Information technology
Senior Product Manager	Leadership	C: 6 to 10 years		2 or more
Senior Product Manager		C: 6 to 10 years		
Senior Product Owner, Data and Analytics	Leadership	D: 11 or more years		Information technology
Senior Project Specialist	Analyst	C: 6 to 10 years	Non-profit	
Senior R&D Manager	Developer	B: 3 to 5 years		Marketing
Senior Research & Evaluation Specialist		D: 11 or more years	2 or more	
Senior Research & Planning Analyst	Analyst	C: 6 to 10 years		
Senior Research Analyst	Analyst	B: 3 to 5 years	Academia	
Senior Research Analyst	Analyst	C: 6 to 10 years	Academia	
Senior Research and Data Scientist	Analyst	B: 3 to 5 years	2 or more	2 or more
Senior Research and Evaluation Consultant	Analyst			
Senior Research Associate	Analyst	B: 3 to 5 years	2 or more	Healthcare/medical
Senior Research Engineer	Scientist	B: 3 to 5 years	Academia	
Senior Research Fellow	Analyst	B: 3 to 5 years		Healthcare/medical
Senior Research Fellow	Academic	B: 3 to 5 years		
Senior Research Scientist	Scientist	C: 6 to 10 years	Private sector	
Senior Research Scientist		B: 3 to 5 years		
Senior Research Scientist		C: 6 to 10 years		
Senior Research Staff	Scientist	D: 11 or more years	2 or more	2 or more
Senior Researcher	Teacher	D: 11 or more years	Public sector (government)	Information technology
Senior Researcher	Academic	C: 6 to 10 years		
Senior Researcher	Academic	C: 6 to 10 years		
Senior Researcher		A: 2 or fewer years		
Senior Scientific Officer	Leadership	B: 3 to 5 years	Public sector (government)	
Senior Social Media Manager	Leadership	B: 3 to 5 years	Private sector	Finance
Senior Software Engineer	Student	B: 3 to 5 years		
Senior Software Engineer	Engineer	D: 11 or more years		Information technology
Senior Software Engineer	Developer	C: 6 to 10 years	Private sector	
Senior Software Engineer	Developer	C: 6 to 10 years		Finance
Senior Software Implementation Specialist		C: 6 to 10 years		Information technology
Senior Staff Software Engineer	Engineer	D: 11 or more years	2 or more	2 or more
Senior Statistical Programmer	Developer	B: 3 to 5 years		Healthcare/medical
Senior Statistician	Analyst	D: 11 or more years	Non-profit	Healthcare/medical
Senior Tableau Consultant	Designer	B: 3 to 5 years		
Senior Technical Specialist	Analyst	B: 3 to 5 years	2 or more	
Senior Training Specialist	Teacher	B: 3 to 5 years	Private sector	Healthcare/medical
Senior User Experience Architect	Designer	C: 6 to 10 years		Information technology
Senior User Interface Designer	Designer	A: 2 or fewer years		Healthcare/medical
Senior UX Designer	Engineer	D: 11 or more years		Healthcare/medical
Senior UX Designer	Designer	B: 3 to 5 years		Healthcare/medical
Senior UX Engineer	Engineer	B: 3 to 5 years	Private sector	
Senior Visualisation Designer	Analyst	B: 3 to 5 years		Finance
Senior Visualization Designer	Designer	B: 3 to 5 years		Healthcare/medical
Senior Visualization Developer	Developer	B: 3 to 5 years	Private sector	
Senior Visualization Expert	Developer	C: 6 to 10 years		Consulting
Social Science Researcher	Analyst	A: 2 or fewer years	2 or more	Consulting
Software Architect		A: 2 or fewer years		
Software Designer and Engineer	Developer	D: 11 or more years		
Software Developer	Student	B: 3 to 5 years		
Software Developer	Developer	B: 3 to 5 years	Non-profit	
Software Developer		B: 3 to 5 years		
Software Engineer	Engineer	B: 3 to 5 years		Information technology
Software Engineer	Engineer	C: 6 to 10 years	Private sector	Marketing
Software Engineer	Engineer	C: 6 to 10 years		Information technology
Software Engineer	Engineer	C: 6 to 10 years		Information technology
Software Engineer	Engineer	C: 6 to 10 years		Information technology
Software Engineer	Engineer	D: 11 or more years		Healthcare/medical
Software Engineer	Developer	C: 6 to 10 years		Information technology
Software Engineer	Developer	D: 11 or more years		Journalism
Software Engineer	Analyst	A: 2 or fewer years	Private sector	Finance
Software Engineer		A: 2 or fewer years		
Software Engineer / Data Analyst	Developer	A: 2 or fewer years		Finance
Software Manager	Leadership	B: 3 to 5 years	2 or more	Healthcare/medical
Solution Architect	Developer	C: 6 to 10 years		Information technology
Solution Architect		B: 3 to 5 years		Consulting
Solution Architect		C: 6 to 10 years		
Solution Consultant		A: 2 or fewer years		Consulting
Solution Manager	Analyst	A: 2 or fewer years		Consulting
Solutions Architect	Developer	B: 3 to 5 years	Private sector	
Solutions Architect		C: 6 to 10 years		Information technology
Specialist	Analyst	B: 3 to 5 years	Public sector (government)	
Staff Data Scientist	Scientist	C: 6 to 10 years	Private sector	
Staff Data Scientist	Scientist	C: 6 to 10 years		Healthcare/medical
Staff Product Designer	Designer	C: 6 to 10 years	Private sector	
Staff Software Engineer	Developer	C: 6 to 10 years		
Staff Software Engineer		B: 3 to 5 years		
Statistician	Analyst	B: 3 to 5 years	Private sector	
Statistician	Analyst	D: 11 or more years	Public sector (government)	Healthcare/medical
Strategic Data Analyst	Analyst	C: 6 to 10 years		
Strategic Information Advisor	Analyst	B: 3 to 5 years	Non-profit	
Strategy & Analytics Associate	Student	A: 2 or fewer years		
Student	Student	A: 2 or fewer years		
Student	Student	A: 2 or fewer years		
Student	Student	A: 2 or fewer years		
Student	Student	B: 3 to 5 years		
Student	Student	B: 3 to 5 years		
Student	Developer	B: 3 to 5 years		
Student of Information and Data Science, Artist	Student	B: 3 to 5 years		
Supply Chain Analysis	Analyst	B: 3 to 5 years	Private sector	
Supply Chain Engineer	Student	A: 2 or fewer years		
Supply Chain Logistics Consultant	Analyst	C: 6 to 10 years		Information technology
Survey Manager	Developer	D: 11 or more years	2 or more	
Survey Research Coordinator	Analyst	C: 6 to 10 years	Public sector (government)	
Surveyor		A: 2 or fewer years		
Systems Engineer	Engineer	D: 11 or more years	Academia	
Systems Engineer	Analyst	B: 3 to 5 years	2 or more	
Tableau Architect	Developer	D: 11 or more years		
Tableau Consultant	Analyst	A: 2 or fewer years	Private sector	
Tableau Developer	Developer	A: 2 or fewer years		Consulting
Tableau Developer	Developer	B: 3 to 5 years		Consulting
Tableau Developer	Developer	C: 6 to 10 years	Private sector	
Tableau Developer	Developer	C: 6 to 10 years	2 or more	
Tableau Development Lead	Analyst	C: 6 to 10 years		Healthcare/medical
Tableau Enablement Consultant		C: 6 to 10 years		Information technology
Talent Analytics Consultant	Analyst	C: 6 to 10 years	Private sector	
Teacher	Designer	D: 11 or more years		
Teacher	Academic	C: 6 to 10 years		
Team Lead	Academic	C: 6 to 10 years		
Team Lead, Analytics	Analyst	C: 6 to 10 years	Public sector (government)	
Team Leader	Leadership	B: 3 to 5 years	Non-profit	
Team Leader		A: 2 or fewer years		
Tech	Analyst	D: 11 or more years	Non-profit	
Technical Analyst - Data	Analyst	B: 3 to 5 years		
Technical Consultant	Developer	B: 3 to 5 years		Finance
Technical Solution Engineer	Engineer	C: 6 to 10 years		
Technical Specialist	Analyst	B: 3 to 5 years		Consulting
Technology Strategist		C: 6 to 10 years	Private sector	
Trainer	Academic	C: 6 to 10 years		
Tutor	Student	A: 2 or fewer years		
UI Designer	Designer	B: 3 to 5 years	Non-profit	2 or more
Unemployed		A: 2 or fewer years		
User Researcher		C: 6 to 10 years		Information technology
UX Design Professional	Designer	D: 11 or more years		
UX Designer	Designer	A: 2 or fewer years		
UX Designer	Designer	B: 3 to 5 years	Private sector	
UX Designer	Designer	B: 3 to 5 years		2 or more
UX Designer	Designer	C: 6 to 10 years	Private sector	Information technology
UX Designer	Designer	C: 6 to 10 years		Information technology
UX Designer		A: 2 or fewer years		
UX Designer		C: 6 to 10 years		
UX Designer and Researcher	Designer	A: 2 or fewer years	Public sector (government)	
UX Engineer	Engineer	C: 6 to 10 years		2 or more
Visual Communications Analyst	Designer	D: 11 or more years	Public sector (government)	
Visual Communications Designer	Designer	D: 11 or more years		
Visual Communications Specialist	Designer	B: 3 to 5 years	2 or more	Healthcare/medical
Visual Data Journalist		C: 6 to 10 years		
Visual Information Designer	Designer	C: 6 to 10 years		
Visual Information Designer	Designer	D: 11 or more years		
Visual Journalist	Journalist	A: 2 or fewer years		Journalism
Visual Journalist	Journalist	C: 6 to 10 years		Journalism
Visualization Developer	Developer	B: 3 to 5 years	Non-profit	Healthcare/medical
Visualization Developer	Analyst	D: 11 or more years	Academia	
Visualization Lead		D: 11 or more years		Healthcare/medical
Visualization Scientist	Scientist	D: 11 or more years	Public sector (government)	
Visualization Specialist	Teacher	C: 6 to 10 years	Academia	
Visualization Specialist	Academic	C: 6 to 10 years		
VP	Leadership	D: 11 or more years	Private sector	Consulting
VP	Analyst	D: 11 or more years	Private sector	Finance
VP		D: 11 or more years		
Wealth Advisor		C: 6 to 10 years		
Web Producer	Developer	B: 3 to 5 years	Non-profit	
Workforce Intelligence Manager	Developer	D: 11 or more years	Public sector (government)	Healthcare/medical
	Teacher	B: 3 to 5 years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	A: 2 or fewer years		
	Student	B: 3 to 5 years		
	Student	B: 3 to 5 years		
